"NOMVAIXELL","NUMESCALA","SEQATRACADA","ETA","ETD","VAICODIMO","USUNOMRAOSOCIAL","CODALINEACIO","MODINICIAL","MODFINAL","ESLORA","MANEGA","NOMPAIS"
"AMELAND","78643","1","2025-10-21 11:34:00","2025-10-22 19:00:00","9508794","ERSHIP SA","26A","14","16","122,09","","Països Baixos"
"ARKLOW FERN","78665","1","2025-10-21 23:16:00","2025-10-23 22:00:00","9527661","ERSHIP SA","26A","19","20","89,95","","Irlanda"
"ATLANTIC GENEVA","77981","1","2025-10-22 13:00:00","2025-10-23 02:00:00","9330848","CMA CGM IBERICA SAU","36A","","","147,84","","Singapur"
"BOMAR MARS","78446","1","2025-10-10 14:50:00","2025-10-31 00:00:00","9377030","ERHARDT SHIPPING SERVICES SL","32G","","","107,34","","Malta"
"CARMEL I","77757","1","2025-10-22 23:00:00","2025-10-23 14:00:00","9395927","A PEREZ Y CIA SL","24X","","","258,89","","Libèria"
"CGAS LION","78588","1","2025-10-21 13:27:00","2025-10-22 08:54:00","9578036","IBERICA MARITIMA BARCELONA SA","32A","1","1","99,9","17,41","Malta"
"CIUDAD DE PALMA","78520","1","2025-10-22 18:30:00","2025-10-22 22:45:00","9349772","GRIMALDI LOGISTICA ESPAÑA SL","19A","2","5","186","","Espanya"
"CMA CGM BETTER WAYS","77684","1","2025-10-21 01:47:00","2025-10-22 08:23:00","9950557","CMA CGM IBERICA SAU","36A","12","18","272,3","","Malta"
"CONTSHIP ZEN","78300","1","2025-10-22 12:00:00","2025-10-22 23:00:00","9683491","CMA CGM IBERICA SAU","36A","","","158,37","","Libèria"
"CONTSHIP ZEN","78300","2","2025-10-22 11:58:00","2025-10-22 11:59:00","9683491","CMA CGM IBERICA SAU","90A","","","158,37","","Libèria"
"CRUISE BARCELONA","78498","1","2025-10-22 19:45:00","2025-10-22 23:59:00","9351488","GRIMALDI LOGISTICA ESPAÑA SL","21A","4","8","253,8","","Itàlia"
"ECO ADRIATICA","78621","1","2025-10-22 07:36:00","2025-10-22 10:51:00","9859600","GRIMALDI LOGISTICA ESPAÑA SL","20D","2","6","238","","Itàlia"
"ECO VALENCIA","78623","1","2025-10-22 01:36:00","2025-10-22 04:51:00","9859533","GRIMALDI LOGISTICA ESPAÑA SL","20D","2","6","238","34","Itàlia"
"EF EMIRA","78537","1","2025-10-22 10:52:00","2025-10-22 14:00:00","9357810","MEDITERRANEAN SHIPPING COM ESPAÑA SLU","36A","12","16","182,53","","Portugal"
"EXCELSIOR","78543","1","2025-10-22 02:32:00","2025-10-22 04:20:00","9184419","TRANSCOMA BALEARES SA","18C","5","9","202,78","26,8","Itàlia"
"EXPLORA II","72212","1","2025-10-22 06:00:00","2025-10-22 18:00:00","9869887","MEDITERRANEAN SHIPPING COM ESPAÑA SLU","01C","7","12","245","36,6","Malta"
"FAIR WONDER","78527","3","2025-10-20 17:06:00","2025-10-23 23:00:00","9327449","IBERICA MARITIMA BARCELONA SA","32E","1","1","183,88","32,2","Libèria"
"GFS RHEA","78431","4","2025-10-21 14:08:00","2025-10-22 02:00:00","9373486","UNIVERSAL MARITIMA SL","29A","13","16","176,88","27,4","Xipre"
"GNV SEALAND","78544","1","2025-10-22 17:00:00","2025-10-22 21:30:00","9435454","TRANSCOMA BALEARES SA","20A","3","6","186,44","","Itàlia"
"GOLDEN BRIDGE","78545","1","2025-10-22 18:15:00","2025-10-22 21:45:00","8902345","TRANSCOMA BALEARES SA","19B","1","4","186,5","","Xipre"
"HYDE PARK","78655","1","2025-10-22 07:22:00","2025-10-23 06:00:00","9725861","IBERICA MARITIMA BARCELONA SA","32E","1","1","145","","Libèria"
"HYDE PARK","78655","2","2025-10-22 07:19:00","2025-10-22 07:21:00","9725861","IBERICA MARITIMA BARCELONA SA","90A","","","145","","Libèria"
"HYPATIA DE ALEJANDRIA","78633","1","2025-10-22 19:30:00","2025-10-22 22:15:00","9498755","BALEARIA EUROLINEAS MARITIMAS SA ","01D","1","4","186,6","","Xipre"
"KERRY","78712","1","2025-10-22 19:00:00","2025-10-22 22:00:00","9243447","BALEARIA EUROLINEAS MARITIMAS SA ","01C","13","16","186,5","","Xipre"
"KORSARO","78646","1","2025-10-21 23:29:00","2025-10-24 21:00:00","9373137","ALFASHIP MARITIME SERVICES SL ","32F","1","1","169,9","25,4","Malta"
"MAERSK NORFOLK","78292","1","2025-10-21 12:10:00","2025-10-22 04:04:00","9356139","NOATUM MARITIME SPAIN SAU","36A","19","23","210,49","","Dinamarca"
"MAERSK NORTHAMPTON","78473","1","2025-10-22 08:32:00","2025-10-23 05:00:00","9215919","NOATUM MARITIME SPAIN SAU","24B","14","18","210","","Singapur"
"MARTIN I SOLER","78580","1","2025-10-22 19:00:00","2025-10-22 21:30:00","9390367","BALEARIA EUROLINEAS MARITIMAS SA ","27A","1","4","165","","Espanya"
"MED BALTIC","78478","1","2025-10-20 23:14:00","2025-10-22 01:10:00","9462304","ALFASHIP MARITIME SERVICES SL ","32B","1","1","123,9","17,2","Malta"
"MSC AGADIR","78250","1","2025-10-22 12:00:00","2025-10-23 10:00:00","9619464","MEDITERRANEAN SHIPPING COM ESPAÑA SLU","36A","12","18","299,18","","Hong Kong"
"MSC CLAUDE GIRARDET","78185","1","2025-10-20 06:07:00","2025-10-22 02:29:00","9936628","MEDITERRANEAN SHIPPING COM ESPAÑA SLU","36A","3","10","399,99","61,5","Libèria"
